Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://raw.githubusercontent.com/mpjobrien/Exhibit/main/pked-exhibit-01.png,0:00:20,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
Exhibit02,https://raw.githubusercontent.com/mpjobrien/Exhibit/main/pked-exhibit-02.png,0:00:20,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
